,孙少平,金波,田福堂,侯玉英,田晓霞,孙玉厚,金俊海,金秀,王满银,孙少安,孙玉亭,金俊武,金光亮,金先生,金俊山,徐治功,杨高虎,徐国强,田福军,冯世宽,憨牛,金富,金强,金俊斌,刘根民,田润叶,徐爱云,李登云,白明川,田润生,贾冰,田五,田海民,王彩娥,贺秀莲,贺耀宗,张有智,周文龙,刘志祥,黑白,马国雄,胡得禄,武惠良,孙兰香,胡得福,苗凯,金光辉,刘玉升,石钟,乔伯年,张生民,杜正贤,高凤阁,白元,武宏全,武得全,曹书记,萝卜花,顾尔纯,杜丽丽,胡永合,南洋女人,胡永州,藏族姑娘,小翠,雷区长,王世才,安锁子,田四,惠英,高步杰,卫红,马来花,古风铃,田晓晨
96,,,,,1.0,,2.0,,,15.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,6.0,,1.0,,3.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,1.0,,,,,,,,3.0,2.0,,,,34.0,,4.0,3.0,,,5.0,,,3.0,,,,9.0,,,,,10.0,,,18.0,,,,,6.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,19.0,,,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,2.0,35.0,1.0,,,,,,,,,,,,,,,,,12.0,1.0,,,,,,,,4.0,,,,10.0,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,
104,10.0,,,,10.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,11.0,4.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,7.0,,,,,,,,,,
106,15.0,8.0,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,13.0,6.0,,,,,1.0,1.0,1.0,,,,,,,,,,
107,5.0,11.0,,,1.0,,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,9.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
110,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,6.0,,,,,,,
112,,,3.0,,,,,,,4.0,1.0,1.0,1.0,,2.0,,,,1.0,,,,,1.0,,,,,,,,12.0,6.0,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
113,,,2.0,,,4.0,,,1.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
114,9.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
115,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,6.0,,7.0,,,,,
116,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,5.0,1.0,,2.0,,,,,
117,7.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,12.0,,1.0,,,,,
118,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,1.0,,,,
119,,1.0,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,15.0,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,2.0,,,3.0,,,,13.0,19.0,1.0,,,1.0,1.0,1.0,,2.0,,,,,,6.0,,,,,,,1.0,,1.0,2.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
122,,,25.0,,,2.0,,,,9.0,7.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,10.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,1.0,,,,,
125,12.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14.0,,5.0,,,,,
126,11.0,,,,3.0,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,2.0,,,5.0,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,7.0,,,,,,,1.0,2.0,16.0,16.0,,13.0,,,,,,,8.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,
129,,,3.0,,,,,,,2.0,19.0,27.0,3.0,1.0,,1.0,1.0,,,,,2.0,27.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,
130,,1.0,,,,1.0,1.0,,,8.0,9.0,11.0,1.0,2.0,1.0,,,,,,,,12.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
131,1.0,,,,,,,,,16.0,,,,,,8.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
